"Movie Title","Release Year","Rotten Tomatoes Rating","Budget(Millions US Dollars)","Movie Length (Hours)","Decade"
"Pinocchio",1940,1,2.6,1.46666666666667,1940
"Fantasia",1940,0.95,2.28,2.1,1940
"The Reluctant Dragon",1941,0.67,0.6,1.23333333333333,1940
"Dumbo",1941,0.98,0.95,1.06666666666667,1940
"Bambi",1942,0.9,0.858,1.16666666666667,1940
"Make Mine Music",1946,0.7,1.35,1.25,1940
"Song of the South",1946,0.5,2.125,1.56666666666667,1940
"Melody Time",1948,0.8,1.5,1.25,1940
"So Dear to My Heart",1948,0.53,1.5,1.36666666666667,1940
"Cinderella",1950,0.84,2.9,1.23333333333333,1950
"Alice in Wonderland",1951,0.51,3,1.25,1950
"Peter Pan",1953,0.81,4,1.28333333333333,1950
"The Sword and the Rose",1953,0.35,2,1.53333333333333,1950
"The Living Desert",1953,0.74,0.3,1.15,1950
"Rob Roy, the Highland Rogue",1953,0.36,1.8,1.35,1950
"20,000 Leagues Under the Sea",1954,0.89,5,2.11666666666667,1950
"Lady and the Tramp",1955,0.93,4,1.26666666666667,1950
"Johnny Tremain",1957,0.49,0.7,1.33333333333333,1950
"Sleeping Beauty",1959,0.89,6,1.25,1950
"The Shaggy Dog",1959,0.26,1,1.73333333333333,1950
"Third Man on the Mountain",1959,0.76,2,1.75,1950
"Pollyanna",1960,0.86,2.5,2.23333333333333,1960
"Swiss Family Robinson",1960,0.82,4,2.1,1960
"One Hundred and One Dalmatians",1961,0.98,3.6,1.31666666666667,1960
"Babes in Toyland",1961,0.36,3,1.75,1960
"Bon Voyage!",1962,0.36,3,2.16666666666667,1960
"The Sword in the Stone",1963,0.66,3,1.31666666666667,1960
"Mary Poppins",1964,1,4.4,2.31666666666667,1960
"The Jungle Book",1967,0.94,4,1.3,1960
"The Happiest Millionaire",1967,0.5,5,2.73333333333333,1960
"The Love Bug",1968,0.76,5,1.8,1960
"The Aristocats",1970,0.64,4,1.31666666666667,1970
"Bedknobs and Broomsticks",1971,0.66,6.3,1.96666666666667,1970
"Robin Hood",1973,0.43,5,1.38333333333333,1970
"The Island at the Top of the World",1974,0.43,8,1.55,1970
"Freaky Friday",1976,0.88,5,1.58333333333333,1970
"The Rescuers",1977,0.81,7.5,1.28333333333333,1970
"Pete's Dragon",1977,0.88,10,2.13333333333333,1970
"The Cat from Outer Space",1978,0.67,3.5,1.73333333333333,1970
"Unidentified Flying Oddball",1979,0.33,5.25,1.55,1970
"The Black Hole",1979,0.38,20,1.63333333333333,1970
"The Watcher in the Woods",1980,0.5,9,1.4,1980
"The Last Flight of Noah's Ark",1980,0.4,6,1.61666666666667,1980
"Popeye",1980,0.59,20,1.9,1980
"Dragonslayer",1981,0.84,18,1.81666666666667,1980
"The Fox and the Hound",1981,0.7,12,1.38333333333333,1980
"Condorman",1981,0.23,14,1.5,1980
"Tex",1982,0.85,5,1.71666666666667,1980
"Something Wicked This Way Comes",1983,0.6,19,1.58333333333333,1980
"Never Cry Wolf",1983,1,11,1.75,1980
"Return to Oz",1985,0.53,28,1.88333333333333,1980
"The Black Cauldron",1985,0.53,25,1.33333333333333,1980
"The Great Mouse Detective",1986,0.8,14,1.23333333333333,1980
"Flight of the Navigator",1986,0.84,9,1.5,1980
"Oliver & Company",1988,0.5,31,1.23333333333333,1980
"Honey, I Shrunk the Kids",1989,0.76,18,1.55,1980
"Cheetah",1989,0.5,5,1.4,1980
"The Little Mermaid",1989,0.93,40,1.38333333333333,1980
"DuckTales the Movie: Treasure of the Lost Lamp",1990,0.88,20,1.15,1990
"White Fang",1991,0.65,14,1.78333333333333,1990
"The Rocketeer",1991,0.65,35,1.8,1990
"Beauty and the Beast",1991,0.94,25,1.4,1990
"Newsies",1992,0.39,15,2.01666666666667,1990
"Honey, I Blew Up the Kid",1992,0.4,40,1.48333333333333,1990
"The Mighty Ducks",1992,0.23,14,1.73333333333333,1990
"Aladdin",1992,0.95,28,1.5,1990
"The Muppet Christmas Carol",1992,0.76,12,1.43333333333333,1990
"The Adventures of Huck Finn",1993,0.73,6.5,1.78333333333333,1990
"Hocus Pocus",1993,0.37,28,1.6,1990
"Cool Runnings",1993,0.76,17,1.63333333333333,1990
"The Three Musketeers",1993,0.26,30,1.75,1990
"Blank Check",1994,0.09,13,1.56666666666667,1990
"The Lion King",1994,0.93,45,1.46666666666667,1990
"Angels in the Outfield",1994,0.33,31,1.7,1990
"The Santa Clause",1994,0.71,22,1.61666666666667,1990
"Man of the House",1995,0.09,22,1.6,1990
"Tall Tale",1995,0.5,32,1.63333333333333,1990
"Pocahontas",1995,0.55,55,1.35,1990
"Operation Dumbo Drop",1995,0.31,24,1.8,1990
"A Kid in King Arthur's Court",1995,0.05,15,1.48333333333333,1990
"The Big Green",1995,0,12,1.65,1990
"Toy Story",1995,1,30,1.35,1990
"Muppet Treasure Island",1996,0.73,31,1.66666666666667,1990
"James and the Giant Peach",1996,0.91,38,1.31666666666667,1990
"The Hunchback of Notre Dame",1996,0.71,100,1.51666666666667,1990
"First Kid",1996,0.2,15,1.68333333333333,1990
"101 Dalmatians",1996,0.41,75,1.71666666666667,1990
"Jungle 2 Jungle",1997,0.19,32,1.75,1990
"Hercules",1997,0.84,85,1.55,1990
"George of the Jungle",1997,0.56,55,1.53333333333333,1990
"Air Bud",1997,0.45,3,1.63333333333333,1990
"Flubber",1997,0.24,80,1.55,1990
"Mr. Magoo",1997,0.07,30,1.45,1990
"Meet the Deedles",1998,0.07,24,1.55,1990
"Mulan",1998,0.86,90,1.45,1990
"The Parent Trap",1998,0.86,15,2.13333333333333,1990
"I'll Be Home for Christmas",1998,0.23,30,1.43333333333333,1990
"A Bug's Life",1998,0.92,120,1.58333333333333,1990
"Mighty Joe Young",1998,0.54,90,1.9,1990
"My Favorite Martian",1999,0.12,65,1.55,1990
"Doug's 1st Movie",1999,0.26,5,1.38333333333333,1990
"Tarzan",1999,0.89,130,1.46666666666667,1990
"Inspector Gadget",1999,0.21,90,1.3,1990
"Toy Story 2",1999,1,90,1.53333333333333,1990
"Fantasia 2000",1999,0.81,85,1.23333333333333,1990
"The Tigger Movie",2000,0.62,15,1.28333333333333,2000
"Dinosaur",2000,0.64,127.5,1.36666666666667,2000
"The Kid",2000,1,65,1.73333333333333,2000
"Remember The Titans",2000,0.73,30,1.88333333333333,2000
"102 Dalmatians",2000,0.31,85,1.66666666666667,2000
"The Emperor's New Groove",2000,0.85,100,1.3,2000
"Recess: School's Out",2001,0.6,23,1.38333333333333,2000
"Atlantis: The Lost Empire",2001,0.49,90,1.6,2000
"The Princess Diaries",2001,0.48,26,1.91666666666667,2000
"Max Keeble's Big Move",2001,0.29,25,1.43333333333333,2000
"Monsters, Inc.",2001,0.96,115,1.53333333333333,2000
"Snow Dogs",2002,0.25,33,1.65,2000
"Return to Never Land",2002,0.45,20,1.21666666666667,2000
"The Rookie",2002,0.84,22,2.13333333333333,2000
"Lilo & Stitch",2002,0.86,80,1.41666666666667,2000
"The Country Bears",2002,0.31,35,1.46666666666667,2000
"Tuck Everlasting",2002,0.6,15,1.6,2000
"The Santa Clause 2",2002,0.56,65,1.73333333333333,2000
"Treasure Planet",2002,0.69,140,1.58333333333333,2000
"The Jungle Book 2",2003,0.19,20,1.2,2000
"Piglet's Big Movie",2003,0.7,46,1.25,2000
"Ghosts of the Abyss",2003,0.8,13,1.01666666666667,2000
"Holes",2003,0.78,20,1.95,2000
"The Lizzie McGuire Movie",2003,0.41,17,1.56666666666667,2000
"Finding Nemo",2003,0.99,94,1.66666666666667,2000
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,0.79,140,2.38333333333333,2000
"Freaky Friday",2003,0.88,26,1.61666666666667,2000
"Brother Bear",2003,0.37,46,1.41666666666667,2000
"The Haunted Mansion",2003,0.14,90,1.43333333333333,2000
"Teacher's Pet",2004,0.86,10,1.23333333333333,2000
"Miracle",2004,0.81,28,2.26666666666667,2000
"Confessions of a Teenage Drama Queen",2004,0.14,15,1.48333333333333,2000
"Home on the Range",2004,0.53,110,1.26666666666667,2000
"Around the World in 80 Days",2004,0.32,110,2,2000
"The Princess Diaries 2: Royal Engagement",2004,0.26,45,1.88333333333333,2000
"National Treasure",2004,0.46,100,2.18333333333333,2000
"Pooh's Heffalump Movie",2005,0.8,20,1.13333333333333,2000
"The Pacifier",2005,0.21,56,1.58333333333333,2000
"Ice Princess",2005,0.52,25,1.61666666666667,2000
"Herbie: Fully Loaded",2005,0.41,50,1.68333333333333,2000
"Sky High",2005,0.73,35,1.66666666666667,2000
"Valiant",2005,0.32,35,1.26666666666667,2000
"The Greatest Game Ever Played",2005,0.63,25,2,2000
"Chicken Little",2005,0.37,150,1.35,2000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,0.76,180,2.38333333333333,2000
"Roving Mars",2006,0.71,1,0.666666666666667,2000
"Eight Below",2006,0.73,40,2,2000
"The Shaggy Dog",2006,0.26,50,1.65,2000
"The Wild",2006,0.5,80,1.36666666666667,2000
"Cars",2006,0.75,120,1.95,2000
"Pirates of the Caribbean: Dead Man's Chest",2006,0.53,225,2.51666666666667,2000
"Invincible",2006,0.72,30,1.73333333333333,2000
"The Nightmare Before Christmas",1993,0.95,18,1.26666666666667,1990
"The Santa Clause 3: The Escape Clause",2006,0.17,12,1.53333333333333,2000
"Bridge to Terabithia",2007,0.85,20,1.58333333333333,2000
"Pirates of the Caribbean: At World's End",2007,0.44,300,2.8,2000
"Ratatouille",2007,0.96,150,1.85,2000
"Underdog",2007,0.14,25,1.36666666666667,2000
"The Game Plan",2007,0.28,22,1.83333333333333,2000
"Enchanted",2007,0.93,85,1.78333333333333,2000
"National Treasure: Book of Secrets",2007,0.36,130,2.06666666666667,2000
"Hannah Montana and Miley Cyrus: Best of Both Worlds Concert",2008,0.71,7,1.23333333333333,2000
"College Road Trip",2008,0.12,25,1.38333333333333,2000
"The Chronicles of Narnia: Prince Caspian",2008,0.67,225,2.5,2000
"WALL-E",2008,0.95,180,1.61666666666667,2000
"Beverly Hills Chihuahua",2008,0.4,20,1.51666666666667,2000
"Bolt",2008,0.89,150,1.6,2000
"Bedtime Stories",2008,0.27,80,1.65,2000
"Race to Witch Mountain",2009,0.43,50,1.63333333333333,2000
"Hannah Montana: The Movie",2009,0.43,30,1.61666666666667,2000
"Earth",2007,0.86,47,1.65,2000
"Up",2009,0.98,175,1.6,2000
"G-Force",2009,0.22,150,1.5,2000
"A Christmas Carol",2009,0.52,175,1.6,2000
"Old Dogs",2009,0.05,35,1.46666666666667,2000
"The Princess and the Frog",2009,0.85,105,1.61666666666667,2000
"Alice in Wonderland",2010,0.51,200,1.8,2010
"Oceans",2009,0.81,80,1.73333333333333,2000
"Prince of Persia: The Sands of Time",2010,0.37,0.00015,1.93333333333333,2010
"Toy Story 3",2010,0.98,200,1.71666666666667,2010
"The Sorcerer's Apprentice",2010,0.4,150,1.81666666666667,2010
"Secretariat",2010,0.63,35,2.05,2010
"Tangled",2010,0.89,260,1.66666666666667,2010
"Tron: Legacy",2010,0.51,150,2.08333333333333,2010
"Mars Needs Moms",2011,0.37,150,1.46666666666667,2010
"African Cats",2011,0.73,5,1.48333333333333,2010
"Prom",2011,0.36,8,1.73333333333333,2010
"Pirates of the Caribbean: On Stranger Tides",2011,0.33,410.6,2.28333333333333,2010
"Cars 2",2011,0.39,200,1.76666666666667,2010
"Winnie the Pooh",2011,0.91,30,1.15,2010
"The Muppets",2011,0.95,45,1.71666666666667,2010
"John Carter",2012,0.52,306.6,2.2,2010
"Chimpanzee",2012,0.76,5,1.28333333333333,2010
"Brave",2012,0.78,185,1.55,2010
"The Odd Life of Timothy Green",2012,0.36,25,1.73333333333333,2010
"Frankenweenie",2012,0.87,39,1.45,2010
"Wreck-It Ralph",2012,0.87,165,1.68333333333333,2010
"Oz the Great and Powerful",2013,0.57,200,2.16666666666667,2010
"Monsters University",2013,0.8,200,1.73333333333333,2010
"The Lone Ranger",2013,0.3,225,2.48333333333333,2010
"Planes",2013,0.25,50,1.53333333333333,2010
"Frozen",2013,0.9,150,1.7,2010
"Saving Mr. Banks",2013,0.79,35,2.08333333333333,2010
"Muppets Most Wanted",2014,0.8,51,1.78333333333333,2010
"Bears",2014,0.9,5,1.28333333333333,2010
"Million Dollar Arm",2014,0.65,25,2.06666666666667,2010
"Maleficent",2014,0.54,180,1.61666666666667,2010
"Planes: Fire & Rescue",2014,0.44,50,1.4,2010
"Khoobsurat",2014,0.8,3.2,2.11666666666667,2010
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,0.61,28,1.35,2010
"Big Hero 6",2014,0.89,165,1.7,2010
"Into the Woods",2014,0.71,50,2.06666666666667,2010
"McFarland, USA",2015,0.81,25,2.15,2010
"Cinderella",2015,0.84,95,1.76666666666667,2010
"Monkey Kingdom",2015,0.93,5,1.36666666666667,2010
"Tomorrowland",2015,0.5,180,2.16666666666667,2010
"Inside Out",2015,0.98,175,1.56666666666667,2010
"The Good Dinosaur",2015,0.76,175,1.56666666666667,2010
"The Finest Hours",2016,0.63,70,1.95,2010
"Zootopia",2016,0.98,150,1.8,2010
"The Jungle Book",2016,0.94,175,1.76666666666667,2010
"Alice Through the Looking Glass",2016,0.29,170,1.88333333333333,2010
"Finding Dory",2016,0.94,175,1.61666666666667,2010
"The BFG",2016,0.74,140,1.95,2010
"Pete's Dragon",2016,0.88,65,1.71666666666667,2010
"Queen of Katwe",2016,0.93,15,2.06666666666667,2010
"Moana",2016,0.95,150,1.78333333333333,2010
"March of the Penguins",2005,0.94,8,1.33333333333333,2000
"Beauty and the Beast",2017,0.94,160,2.15,2010
"Born in China",2016,0.85,5,1.26666666666667,2010
"Pirates of the Caribbean: Dead Men Tell No Tales",2017,0.29,230,2.15,2010
"Cars 3",2017,0.7,175,1.7,2010
"Coco",2017,0.97,175,1.75,2010
"A Wrinkle in Time",2018,0.42,100,1.81666666666667,2010
"Incredibles 2",2018,0.93,200,1.96666666666667,2010
"The Nutcracker and the Four Realms",2018,0.32,120,1.65,2010
"Ralph Breaks the Internet",2018,0.88,175,1.86666666666667,2010
"Mary Poppins Returns",2018,0.79,130,2.18333333333333,2010
"Dumbo",2019,0.98,170,1.86666666666667,2010
"Aladdin",2019,0.95,183,2.13333333333333,2010
"Toy Story 4",2019,0.97,200,1.66666666666667,2010
"The Lion King",2019,0.93,250,1.96666666666667,2010
"Maleficent: Mistress of Evil",2019,0.4,185,1.98333333333333,2010
"Lady and the Tramp",2019,0.93,60,1.73333333333333,2010
"Frozen II",2019,0.77,150,1.71666666666667,2010
"Onward",2020,0.88,175,1.7,2020
"Artemis Fowl",2020,0.09,125,1.58333333333333,2020
"Mulan",2020,0.86,200,1.91666666666667,2020
